,username,description,location,text,hashtags
16,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Find out all about this Indian Army's initiative here.
#Education #IndianArmy 
https://t.co/Pb2vcok7CG","['Education', 'IndianArmy']"
17,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Top news at 10 PM
#ITLivestream #Elections2022
 https://t.co/DYREX6bcbV","['ITLivestream', 'Elections2022']"
18,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Travellers from the United Arab Emirates are now exempted from pre-departure RT-PCR test if they have received both doses of Covid-19 vaccines in India, Air India Express said.

#UAE #RTPCR #Coronavirus #India | @PoulomiMSaha 

https://t.co/E6fWorUWdm","['UAE', 'RTPCR', 'Coronavirus', 'India']"
19,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"In conversation with Sanjiv Goenka.
Watch #BusinessToday with #UdayanMukherjee
#ITLivestream 
 https://t.co/xU6q6lXRm8","['BusinessToday', 'UdayanMukherjee', 'ITLivestream']"
20,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Assam man fulfils dream of buying scooter with hard-earned money. But there’s a twist
#Trending #Assam 
https://t.co/1bSiV1cOWj","['Trending', 'Assam']"
21,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Polling will be held on 117 Assembly seats in Punjab from 8 am to 6 pm and 59 seats in Uttar Pradesh from 7 am to 6 pm.

#Voting #PunjabElections #UttarPradeshElections 

https://t.co/64RigMhwtk","['Voting', 'PunjabElections', 'UttarPradeshElections']"
22,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"After the US said that the #Russian invasion of #Ukraine is imminent in the next few days, many young Ukrainians have come forward to take military training.
#UkraineCrisis | @gauravcsawant https://t.co/isgwrR8eTx","['Russian', 'Ukraine', 'UkraineCrisis']"
23,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Mamata Banerjee reinstates Abhishek Banerjee as number 2 in TMC.
Trinamool Congress MP Abhishek Banerjee will continue to serve as the party’s national general secretary.
#WestBengal #Politics | @Suryavachan https://t.co/FmX4GKDbm3","['WestBengal', 'Politics']"
24,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"#Haryana police arrest 3 with suspected ties to pro-Khalistan outfits from Sonipat.
Sagar alias Binni, Sunil alias Pahalwan and Jatin alias Rajesh - have been arrested.
#Elections2022 #PunjabElections2022 https://t.co/22OGL0BMiR","['Haryana', 'Elections2022', 'PunjabElections2022']"
25,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Will look into it: Amit Shah responds to Channi's demand for probe against Kejriwal
#Elections2022 #PunjabElections2022 https://t.co/lgaaJ9lkoO","['Elections2022', 'PunjabElections2022']"
26,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"BJP claims SP’s terror nexus.
#UttarPradeshElections2022 #UttarPradeshElections
#Elections2022 https://t.co/C42sIMfYsN","['UttarPradeshElections2022', 'UttarPradeshElections', 'Elections2022']"
27,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"BJP claims SP’s terror nexus. Terror link politics explodes. 
#ITLivestream #Elections2022
@Poulomimsaha https://t.co/zyPXK4pS0v","['ITLivestream', 'Elections2022']"
28,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Social media posts shared the image of a bus accident claiming that 12 jawans were killed in the mishap in Meghalaya. @AFWACheck  has found the claim to be false.

#AFWAFactCheck | @dheeshmap

https://t.co/GNT0xjOBjB",['AFWAFactCheck']
29,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Rajasthan man pays Rs 6 lakh to book helicopter for son’s wedding. Watch videos 
#Trending #Rajasthan 
https://t.co/geUUxr9HH1","['Trending', 'Rajasthan']"
30,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"The EC has ordered an FIR against Telangana BJP MLA T Raja Singh for allegedly 'threatening' voters in Uttar Pradesh.
#ElectionCommission #Telangana #UttarPradesh 
@PoulomiMSaha 
https://t.co/foAPcLdJZi","['ElectionCommission', 'Telangana', 'UttarPradesh']"
